,track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability,energy,key_y,loudness,mode_y,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,collaboration,months_before_christmas
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,141381703,79.0,83.1,11,-4.185,1,4.4,31.2,0.0,7.969999999999999,87.2,124.987,183.551,4,1,5
1,LALA,Myke Towers,1,2023,3,23,133716286,70.8,73.7,1,-4.045,1,4.36,7.39,0.1619999999999999,9.55,60.7,91.986,197.92,4,0,9
2,vampire,Olivia Rodrigo,1,2023,6,30,140003974,48.4,53.0,5,-5.821,1,5.38,15.4,0.0,26.3,32.300000000000004,136.848,219.724,4,0,6
3,Cruel Summer,Taylor Swift,1,2019,8,23,800840817,55.2,70.19999999999999,9,-5.707,1,15.7,11.7,0.0020599999999999,10.5,56.39999999999999,169.994,178.427,4,0,4
4,WHERE SHE GOES,Bad Bunny,1,2023,5,18,303236322,65.2,80.0,9,-4.019,0,6.140000000000001,14.3,62.9,11.2,23.4,143.978,231.704,4,0,7
5,Sprinter,"Dave, Central Cee",2,2023,6,1,183706234,91.8,68.10000000000001,1,-4.705,1,20.1,26.3,0.0,6.15,70.6,139.057,229.133,4,1,6
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,725980112,66.8,75.8,5,-5.176,0,3.32,48.3,0.0018899999999999,8.37,83.39999999999999,147.989,165.671,3,1,9
7,Columbia,Quevedo,1,2023,7,7,58149378,66.8,71.2,5,-5.927,1,3.81,36.9,0.00213,10.8,26.4,100.02,186.0,4,0,5
8,fukumean,Gunna,1,2023,5,15,95217315,84.7,62.2,1,-6.747,0,9.03,11.9,0.0,28.5,22.0,130.001,125.04,4,0,7
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,553634067,81.2,47.9,2,-5.678,0,33.300000000000004,21.3,0.000121,7.56,55.900000000000006,169.922,234.353,4,1,9
